term,explanation
ACID,"An acronym for Atomicity, Consistency, Isolation, Durability. A set of properties of database transactions intended to guarantee data validity despite errors, power failures, and other mishaps."
Algorithm,"A process or set of rules to be followed in calculations or other problem-solving operations, especially by a computer."
API,"Application Programming Interface. A set of rules and tools that allows different software applications to communicate with each other."
BIOS/UEFI,"Basic Input/Output System or Unified Extensible Firmware Interface. Firmware used to perform hardware initialization during the booting process and to provide runtime services for operating systems."
Blob Storage,"Binary Large Object Storage. A type of cloud storage for unstructured data like images, videos, audio files, and documents."
CDN,"Content Delivery Network. A geographically distributed network of proxy servers that cache content close to users, allowing for faster delivery of internet content."
CI/CD,"Continuous Integration and Continuous Delivery/Deployment. A practice of frequently and automatically testing and releasing code changes to ensure a reliable software delivery process."
Cloud Computing,"The delivery of computing services—including servers, storage, databases, networking, software, analytics, and intelligence—over the Internet ('the cloud') to offer faster innovation and flexible resources."
CPU,"Central Processing Unit. The primary component of a computer that acts as its 'brain', performing most of the processing and calculations."
CSS,"Cascading Style Sheets. A style sheet language used for describing the presentation of a document written in a markup language like HTML."
Data Structure,"A particular way of organizing and storing data in a computer so that it can be accessed and modified efficiently."
DDoS,"Distributed Denial of Service. A malicious attempt to disrupt normal traffic of a targeted server, service or network by overwhelming the target or its surrounding infrastructure with a flood of Internet traffic."
Deep Learning,"A subfield of machine learning based on artificial neural networks with many layers (deep neural networks)."
DNS,"Domain Name System. The internet's phonebook. It translates human-readable domain names (like www.google.com) into machine-readable IP addresses."
Docker,"A platform that uses OS-level virtualization to deliver software in packages called containers. Containers bundle an application's code with all the files and libraries it needs to run."
DOM,"Document Object Model. A programming interface for web documents. It represents the page so that programs can change the document structure, style, and content."
Encryption,"The process of converting information or data into a code, especially to prevent unauthorized access."
Firewall,"A network security system that monitors and controls incoming and outgoing network traffic based on predetermined security rules."
FTP,"File Transfer Protocol. A standard network protocol used for the transfer of computer files between a client and server on a computer network."
Functional Programming,"A programming paradigm where programs are constructed by applying and composing functions, treating computation as the evaluation of mathematical functions and avoiding changing-state and mutable data."
Git,"A distributed version control system for tracking changes in source code during software development. It allows multiple developers to work together on a project."
GPU,"Graphics Processing Unit. A specialized electronic circuit designed to rapidly render images. They are also crucial for training AI models due to their parallel processing capabilities."
GraphQL,"A query language for APIs and a runtime for fulfilling those queries with your existing data. It gives clients the power to ask for exactly what they need and nothing more."
Hadoop,"An open-source framework that allows for the distributed processing of large data sets across clusters of computers using simple programming models."
HTML,"HyperText Markup Language. The standard markup language for documents designed to be displayed in a web browser."
HTTP,"Hypertext Transfer Protocol. The foundation of data communication for the World Wide Web. It defines how messages are formatted and transmitted."
IaaS,"Infrastructure as a Service. A cloud computing service where a vendor provides users access to computing resources such as servers, storage, and networking."
IAM,"Identity and Access Management. A framework of policies and technologies for ensuring that the right users have the appropriate access to technology resources."
IP Address,"Internet Protocol Address. A unique numerical label assigned to each device connected to a computer network that uses the Internet Protocol for communication."
JavaScript,"A high-level, often just-in-time compiled language that conforms to the ECMAScript specification. It is one of the core technologies of the World Wide Web, alongside HTML and CSS."
JSON,"JavaScript Object Notation. A lightweight data-interchange format that is easy for humans to read and write and easy for machines to parse and generate."
JWT,"JSON Web Token. A compact, URL-safe means of representing claims to be transferred between two parties. Often used for authorization in web applications."
Kubernetes,"An open-source container orchestration system for automating the deployment, scaling, and management of containerized applications."
LLM,"Large Language Model. A type of artificial intelligence model trained on vast amounts of text data to understand, generate, and respond to human language."
